1929 ou 1989 ?	1929年还是1989年?
Les efforts en cours pour restructurer la Banque Centrale de Libye et la LIA vont affecter les perceptions des marchés d'autres acteurs souverains de la région.	当前重组利比亚央行和LIA的举措将影响市场对该地区其他主权财富基金的感觉。
On peut penser à Bahreïn et Dubaï.	巴林和迪拜将受到怀疑。
Bien que les récents rapports du Groupe de travail international sur les fonds souverains aient indiqué les difficultés d'application des normes de gouvernance uniforme, plusieurs mesures sont nécessaires afin d’aider le retour de la Libye sur les marchés financiers mondiaux.	尽管主权财富基金国际工作组的最新报告表明，使用统一治理标准尚有诸多困难有待克服，但我们仍然需要一些措施，把利比亚重新纳入全球资本市场。
Malgré le statut unique de l'économie de la Libye et le système politique d'aujourd'hui, scruter le processus d'investissement des sociétés étrangères, ainsi que la définition de la nature des relations entre le régime libyen et la gestion de fonds, sont nécessaires pour assurer de saines relations commerciales entre les souverains et leurs portefeuilles d'investissements.	如今，利比亚经济和政治体系有着独一无二的地位，但详细审查投资外国公司的过程、厘清利比亚政权与基金管理之间关系的性质对于确保各主权财富基金与其投资组合之间保持健康商业关系来说是必不可少的。
D'importantes distributions fondées sur des préoccupations politiques pragmatiques, comme les relations entre la Libye et l'Italie ou le copinage, devraient être réévaluées selon des pratiques de gouvernance meilleures et plus solides.	基于实用主义政治考虑（比如利比亚-意大利关系）或裙带主义的大资金分配应该被重新评估，并要以更好更强的治理实践作为标准。
Les gouvernements et les entreprises devraient assimiler le message et tirer les leçons de l'exemple libyen.	政府和公司都应该认真消化利比亚案例并从中汲取教益。
Le choix s’avèrera peut être trop coûteux pour les actionnaires tout comme pour les citoyens.	若非如此，股东和公民将付出沉重代价。
	
Les révolutionnaires réticents de Lybie	利比亚之被迫进行革命者
TRIPOLI – L'Egypte n'est pas le seul endroit où les grandes espérances du Printemps arabe s’évanouissent peu à peu.	的黎波里 — — “阿拉伯之春”光明的希望正逐渐消退，其地区不仅仅是在埃及。
Attaques contre les gouvernements occidentaux, affrontements ethniques dans de lointaines oasis au milieu du désert… la révolution de la Libye est elle aussi chancelante.	从对西方政府的抗争到遥远的沙漠绿洲里的种族冲突，利比亚革命的势头正在逐渐衰弱。
Le gouvernement intérimaire, qui a dirigé le soulèvement, est en grande partie responsable pour troubles actuels de la Libye.	目前利比亚困境重重，这在很大程度上归咎于临时政府领导的起义。
Le Conseil National de Transition refuse de prendre des décisions difficiles, préférant les refiler à un futur gouvernement élu.	全国过渡委员会（NTC）很难作出抉择，只是假装要成立一个民选政府。
Le CNT a conservé une grande partie de la paralysie institutionnelle du pays, ainsi que du comportement primaire typique du régime renversé du colonel Muammar al-Kadhafi.	被推翻的穆阿迈尔·卡扎菲上校所领导的政府的典型特征是机构内部瘫痪以及依赖下意识行事，而NTC依然保留了很多诸如此类的问题。
Si la révolution libyenne veut réussir, les nouveaux dirigeants du pays devront rompre nettement avec l'esprit du passé.	利比亚革命若想取得成功，新一代国家领导人就必须要彻底打破过去的思想。
Au cours de ses 42 années au pouvoir, Kadhafi s’est entouré de conseillers qui étaient des compagnons de jeunesse, complétés par une petite clique de technocrates.	在执政的42年间，卡扎菲身边的顾问一直是自己年轻时的玩伴，然后就是一些技术专家。
En conséquence, les chefs de la révolte qui l’a renversé ont peu d'expérience de gouvernement.	结果，推翻其政府的领导人所具备的政府经验微乎其微。
Et, dans un pays où toute activité politique était considérée comme une trahison, beaucoup s'attendaient à ce que le CNT néophyte tombe souvent et peu après son entrée en fonction.	此外，在一个将任何政治活动均视为叛逆行为的国家，很多人预测刚成立的NTC从开始就会遭受重重困难。
Ils ne se sont pas trompés.	而事实上也的确如此。
En effet, la révolution n'a jamais été sans heurts.	事实上，革命从来都不是一帆风顺的。
Lorsque les combattants ne sont pas parvenus à vaincre les forces loyalistes par eux-mêmes, les puissances extérieures ont été obligées d'intervenir.	当革命人士未能击败政府军时，外部力量就会被迫介入。
Plus tard, le CNT s’est retrouvé incapable d'imposer une discipline aux myriades de milices qui se sont formées pour combattre les troupes de Kadhafi, ni même de diriger efficacement les armes étrangères vers l'armée nationale libyenne naissante.	大量民兵都参与进来同卡扎菲军队进行作战。 之后，NTC无法向这些民兵施加纪律，甚至无法将外国武器有效地运用于刚刚成立的利比亚国家军队。
Lorsque le chef d'état-major a été assassiné en juillet dans des circonstances mystérieuses, le CNT n’a pas pu offrir de réponses concrètes à un public en colère.	7月份，军事参谋长被秘密暗杀，而NTC却无法给愤怒的公众提供任何确凿的解释。
N'ayant pas accès aux avoirs libyens gelés à l'étranger, il a souvent payé les salaires avec des semaines de retard.	因无法动用利比亚的任何国外冻结资产，它经常将工资拖欠几周之久。
Tant que la lutte contre Kadhafi faisait rage, les Libyens considéraient comme antipatriotique de souligner les faiblesses du CNT.	虽然对抗卡扎菲的斗争依然十分激烈，但是利比亚人认为，指出NTC的弱点是不爱国的行为。
Aujourd'hui, cependant, ces défauts ont été amplifiés par sa paralysie.	然而，在今天，政府机构的瘫痪状态放大了这些缺陷。
Le CNT délibère au lieu de décider.	这是NTC反复审议的结果，并非一项简单的决策。
La majorité des deux-tiers requise pour adopter une loi signifie que les projets de loi meurent après de longs débats.	按照规定，立法需要有三分之二的人数通过，这意味着很多法案在经过广泛的辩论后最终会消亡。
De nombreux membres du CNT pensent que le Conseil n'a pas la légitimité nécessaire pour prendre des décisions difficiles.	NTC的很多委员都认为，安理会缺乏合理性，因而对于一些比较艰难的决定它无法做出抉择。
Ils soutiennent que le CNT devrait se limiter à assurer un gouvernement intérimaire, ne mettant en œuvre que les décisions les plus essentielles, jusqu’à ce que des responsables élus entrent en fonction.	他们认为，NTC只是一个代理政府，仅负责实施那些最重要的决议，直至民选官员上任。
En conséquence, le CNT et le cabinet qu'il a nommé, appelé comité exécutif, cherchent simplement passer le relais de l'autorité.	因此，NTC和其任命的内阁（即执行委员会 ） ， 只是想尽快移交权利。
Hésitant à laisser une empreinte importante dans leur sillage, certains ministères ne disposent d’aucun budget et les ministres sont réticents à signer des accords avec des entreprises étrangères.	一些部门不愿留下大量的遗留问题，因此他们没有预算，而且各部长也不愿同外国公司签署协议。
Mais, au-delà de la question du rôle approprié des gouvernements dépositaires, il y a l'indécision des dirigeants du CNT, qui préfèrent tout simplement s'en remettre à d'autres.	然而，除了代理政府应当充当怎样的角色这个问题以外，另一个问题是NTC领导人的优柔寡断，他们总是倾向于听从他人。
Quand un colonel a récemment demandé au président du CNT Mustafa Abdel-Jalil pourquoi il n'a pas cherché à fusionner les milices dans l'armée nationale, Abdel-Jalil a répondu, "je ne dirige que la branche législative.	最近一名上校问NTC主席穆斯塔法·阿卜杜勒-加里尔为什么不将广大民兵合并成一支国家军队，阿卜杜勒-加里尔答道 ： “ 我可以负责立法部门。
Vous devez parler à l'exécutif (le comité). "	而你必须要同执行（委员会）进行商讨 。 ”
D'autres hauts responsables libyens souffrent de la même incapacité de gestion.	利比亚的其他高级官员也面临同样的管理问题。
Le premier ministre du CNT, Mahmoud Jibril, a été salué par la communauté internationale pour sa vision.	NTC的第一任总理马哈茂德·贾布里勒因其远见卓识而受到国际社会的高度赞扬。
Mais, tout comme Abdel-Jalil, Jibril s'est montré incapable de prendre des décisions.	但是，他同阿卜杜勒-加里尔十分相似，事实证明，他也没有决策能力。
La paralysie du CNT est clairement reflétée dans le procès du fils de Kadhafi, Saif al-Islam el-Kadhafi.	NTC的无能在对卡扎菲的儿子赛义夫·伊斯兰·卡扎菲的审判上反映地尤其明显。
Bien que considéré comme le captif le plus précieux de l'Ancien Régime, le Conseil n’a fait que peu de progrès dans les poursuites judiciaires.	虽然安理会被视为“旧制度”最忠诚的守护者，但是在对他的起诉方面理事会的进展甚微。
